小区,height,length,count,赤霉病发病情况,赤霉病发病等级
,96,11.9,22,0/20,
,,,,3/21,
,,,,2/22,
160,123,9,24,6/22,
,123,9.8,21,5/22,
,120,9.5,22,4/24,
,,,,4/21,
,,,,6/22,
161,141,15.9,24,1/20,
,140,13,20,2/22,
,136,16,20,1/24,
,,,,1/20,
,,,,2/23,
163,73,9.5,23,1/23,
,75,8.5,24,6/20,
,76,9.4,24,4/24,
,,,,4/23,
,,,,2/24,
164,101,12,16,2/20,
,107,12,24,4/24,
,110,12.5,2,4/20,
,,,0,0/16,
,,,,3/22,
162,128,9.2,20,3/20,
,136,10,19,5/21,
,126,10,21,10/20,
,,,,4/22,
,,,,3/19,
165,82,10,21,1/21,
,95,6.5,17,2/22,
,105,10.9,18,0/12,
,,,,3/18,
,,,,2/17,
166,123,13.3,23,2/16,
,124,12.5,21,3/21,
,121,12,20,1/23,
,,,,2/21,
,,,,1/20,
167,103,7,23,5/18,
,114,6,18,3/16,
,95,6,18,3/23,
,,,,2/18,
,,,,7/18,
168,136,9.2,25,8/22,
,130,9.8,26,1/25,
,127,10,26,0/26,
,,,,3/23,
,,,,0/26,
169,95,16,25,0/23,
,91,13.5,23,3/25,
,93,14,28,6/21,
,,,,5/28,
,,,,3/25,
170,99,12,25,1/25,
,105,11.5,24,1/25,
,101,12.3,25,1/24,
,,,,1/22,
,,,,2/22,
171,63,13,17,1/17,
,70,11,19,0/15,
,67,9.6,19,1/19,
,,,,0/16,
,,,,0/19,
172,67,10,25,2/25,
,83,8.5,22,2/18,
,84,9,20,2/22,
,,,,1/18,
,,,,0/20,
173,105,10,25,2/20,
,94,10.5,21,0/25,
,95,11.5,20,2/18,
,,,,0/21,
,,,,3/20,
174,98,13,23,0/22,
,116,12,21,0/23,
,91,15.9,22,0/21,
,,,,7/21,
,,,,3/24,
175,150,11,28,8/17,
,141,9,22,0/18,
,147,7.5,20,0/22,
,,,,0/28,
,,,,8/14,
176,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
177,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
178,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
179,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
180,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
181,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
182,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
183,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
184,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
185,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
186,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
187,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
188,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
189,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
190,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
191,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
192,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
193,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
194,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
195,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
196,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
197,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
198,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
199,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
200,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
201,58,11,24,20/24,4
,60,10,26,11/24,2
,55,10,24,20/26,4
,,,,24/24,4
,,,,24/24,4
,,,,,
202,127,14,18,6/20,5
,130,13,20,4/20,1
,120,12,17,4/17,1
,,,,5/19,2
,,,,2/18,1
,,,,,
203,120,9,18,17/19,4
,121,10,19,19/19,4
,115,10,18,18/18,4
,,,,7/19,2
,,,,18/18,4
,,,,,
204,92,13,22,22/22,4
,93,12,22,12/22,3
,92,9,22,20/22,4
,,,,9/20,2
,,,,13/24,3
,,,,,
205,106,11,18,18/18,4
,110,11,20,6/18,2
,1000,11,18,18/18,4
,,,,18/20,4
,,,,16/18,4
,,,,,
206,101,7,19,17/17,4
,102,7,20,19/19,4
,95,5,21,15/20,3
,,,,14/21,3
,,,,17/19,4
,,,,,
207,95,13,20,17/19,4
,87,12,22,21/21,4
,99,13,21,15/20,3
,,,,20/22,4
,,,,16/21,4
,,,,,
208,97,14,27,7/27,2
,95,14,25,4/26,1
,97,14,26,4/27,1
,,,,3/25,1
,,,,2/25,1
,,,,,
209,118,12,26,24/24,4
,110,12,26,26/26,4
,110,12,23,5/23,1
,,,,25/27,4
,,,,23/25,4
,,,,,
210,120,14,24,2/24,1
,123,14,24,2/22,1
,120,14,20,2/19,1
,,,,4/24,1
,,,,2/20,1
,,,,,
211,101,10,18,18/18,4
,100,13,20,21/21,4
,102,10,20,18/18,4
,,,,19/21,4
,,,,17/20,4
,,,,,
212,116,12,24,6/24,2
,111,13,24,2/24,1
,112,11,26,20/26,4
,,,,1/23,1
,,,,4/25,1
,,,,,
213,105,14,20,17/20,4
,107,12,18,16/18,4
,110,14,21,21/21,4
,,,,23/23,4
,,,,18/18,4
,,,,,
214,80,10,23,20/23,4
,88,10,24,23/24,4
,86,10,25,23/25,4
,,,,21/23,4
,,,,20/20,4
,,,,,
215,107,12,19,16/19,4
,100,12,19,18/20,4
,105,11,20,5/19,2
,,,,4/19,1
,,,,7/18,2
,,,,,
216,99,11,23,19/21,4
,89,12,21,19/19,4
,100,11,20,21/21,4
,,,,19/21,4
,,,,19/19,4
,,,,,
217,133,11,22,3/22,1
,131,12,22,5/22,1
,130,12,21,3/23,1
,,,,2/25,1
,,,,3/21,1
,,,,,
218,136,11,22,21/21,4
,139,12,22,19/22,4
,130,10,21,22/22,4
,,,,21/21,4
,,,,19/19,4
,,,,,
219,135,10,24,24/24,4
,130,11,23,21/23,4
,133,11,24,23/25,4
,,,,24/24,4
,,,,24/24,4
,,,,,
220,68,13,26,2/26,1
,72,12,22,2/22,1
,62,13,22,5/22,1
,,,,5/23,1
,,,,3/23,1
,,,,,
221,111,7,20,16/20,4
,111,7,18,4/16,2
,115,7,16,14/18,4
,,,,11/17,3
,,,,17/21,4
,,,,,
222,115,14,18,10/18,3
,112,14,24,5/21,1
,100,13,20,6/26,1
,,,,20/24,4
,,,,10/20,3
,,,,,
223,86,10,20,22/23,4
,94,10,23,17/20,4
,88,11,20,18/21,4
,,,,20/20,4
,,,,21/23,4
,,,,,
224,104,11,21,4/18,1
,110,12,21,16/21,4
,100,11,18,21/21,4
,,,,21/21,4
,,,,16/18,4
,,,,,
225,111,11,20,2/20,1
,110,12,20,10/20,2
,106,11,20,12/19,3
,,,,19/21,4
,,,,3/20,1
,,,,,
226,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
227,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
228,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
229,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
230,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
231,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
232,100.9,11.8,19,3/23,1
,95.3,13.1,17,2/19,1
,103.2,12.5,25,1/25,1
,,,,12/25,2
,,,,5/19,2
,,,,,
233,94.2,12,19,13/19,3
,97.4,12.2,21,4/21,1
,90.8,11.2,25,3/25,1
,,,,14/19,3
,,,,16/26,3
,,,,,
234,120.2,10.0 ,25,11/25,2
,131.3,11.4,26,13/14,4
,134.9,11.2,28,25/25,4
,,,,24/27,4
,,,,25/26,4
,,,,,
235,116,4.7,23,19/25,4
,125.3,11.1 ,24,8/21,2
,132.2,10.2 ,26,11/23,2
,,,,1/22,4
,,,,9/23,2
,,,,,
236,91,12.5,24,17/25,3
,,16.0 ,25,11/23,2
,,14.5,23,12/24,3
,,,,5/22,1
,,,,18/25,3
,,,,,
237,106,11.2,24,1/23,1
,,11.5,22,1/25,1
,,10.7,25,0/24,0
,,,,1/25,1
,,,,0/23,0
,,,,,
238,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
239,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
240,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
241,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
242,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
243,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
244,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
245,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
246,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
247,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
248,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
